#lon,lat,name
#Western Finland
24.6000,60.2000,Espoo
23.6100,60.8200,Forssa
24.8000,61.8600,Halli
23.0000,59.5000,Hanko_sea
25.0400,60.0700,Helsinki_meri
25.0800,60.2200,Helsinki-Itakeskus
24.9500,60.1800,Helsinki-Kaisaniemi
24.9600,60.2000,Helsinki-Kumpula
25.0440,60.2540,Helsinki-Malmi-EFHF
24.9000,60.3200,Helsinki-Vantaa
24.4000,60.2000,Hirlamsmossen
21.3720,60.2230,Houtskari
24.8500,60.6300,Hyvinkaa
24.4000,61.0000,Hameenlinna
25.1000,60.5000,Jarvenpaa
20.5000,61.0000,Joppe
24.3000,59.8690,Kallbadan
23.0300,63.1000,Kauhava
22.7280,60.1640,Kemio
19.1670,61.4170,Kilo13
23.1000,63.8000,Kokkola
24.6830,64.5380,Kopsa
20.7820,60.2560,Kumlinge
23.7500,61.5700,Lake-Nasijarvi
24.1000,60.2000,Lohja
19.8800,60.1200,Maarianhamina
19.1310,60.3030,Market
22.4700,61.8400,Niinisalo
21.8100,61.4800,Pori
20.6670,61.4670,Pori_sea
21.5200,61.1300,Rauma
24.8000,60.8000,Riihimaki
24.1100,60.7400,Rayskala
23.1000,60.4000,Salo
22.8500,62.7900,Seinajoki
20.8160,59.4670,Suomen_leijona
23.4000,60.0000,Tammisaari
23.7840,61.4900,Tampere
23.6100,61.4170,Tampere-EFTP
22.2720,60.4550,Turku
22.2620,60.5150,Turku-EFTU
21.6700,63.1000,Vaasa
#Eastern Finland
27.2000,60.6000,Hamina
28.8000,61.2000,Imatra
29.7500,62.6300,Joensuu
25.7300,62.2400,Jyvaskyla
26.6090,63.7030,Kiuruvesi
29.8160,62.7210,Kontiolahti
26.9000,60.5000,Kotka
26.7000,60.9000,Kouvola
27.6580,62.8940,Kuopio
27.6509,63.0353,Kuopio-EFKU
25.7000,61.0000,Lahti
25.6340,60.9830,Lahti-Ski
25.4000,61.5000,Lake-Paijanne
28.3700,61.2500,Lake-Saimaa
28.1000,61.0500,Lappeenranta
29.6290,63.5110,Lieksa-Nurmes
26.5300,61.2500,Mantyharju
27.2000,61.7000,Mikkeli
25.7500,62.2900,Palokka
25.8300,60.4500,Porvoo
28.2000,62.0000,Rantasalmi
28.8780,61.8680,Savonlinna
28.9320,61.9460,Savonlinna-EFSA
25.6700,62.4000,Tikkakoski-EFJY
26.9300,60.9000,Utti
27.8480,62.3150,Varkaus
27.8600,62.1740,Varkaus-EFVR
#Northern Finland
23.4270,68.3620,Enontekio-Hetta
21.2630,69.3100,Halti
27.4200,68.6200,Ivalo
27.6800,64.2800,Kajaani
20.8000,69.0500,Kilpisjarvi
24.5800,65.7800,Kemi
27.3900,66.7200,Kemijarvi
24.8700,67.6800,Kittila
29.4600,64.1100,Kuhmo
29.2300,65.9800,Kuusamo
23.6800,67.9700,Muonio
25.3700,64.9300,Oulu
26.9700,65.4000,Pudasjarvi
25.7150,66.5000,Rovaniemi
25.8300,66.5700,Rovaniemi-EFRO
29.1410,66.1710,Ruka
28.6800,66.8300,Salla
26.6500,67.3700,Sodankyla
27.0200,69.7500,Utsjoki
28.2850,64.1390,Vuokatti
#Northern Sweden
18.8200,68.3500,Abisko
20.3300,67.8200,Kiruna
20.8200,67.1300,Gallivare
20.1400,66.5000,Jokkmokk
19.2200,66.3200,Tjakaape
22.3600,66.5300,Overkalix
20.1300,65.8700,Vidsel
19.2700,65.5800,Arvidsjaur
22.1200,65.5400,Kallax
17.6900,64.9600,Gunnarn
21.0700,64.6200,Skelleftea
18.7200,64.5500,Lycksele
20.2800,63.7800,Umea
18.9800,63.4000,Ornskoldsvik
14.6590,63.1910,Ostersund
14.5000,63.1800,Are-Ostersunds
17.7700,63.0300,Kramfors-Solleftea
17.5000,62.5500,Sundsvall-Timra
22.1200,65.5500,Lulea
14.4200,62.0500,Sveg
